ra dec stellar_mass r50_s11 r50_nsa bar_fraction B_T
136.62407790981504 36.1601917681965 10.158145904541016 5.61 5.2299423759472266 0.045 0.17
126.62552311766065 11.328429181174586 10.034320831298828 6.35 5.972009913918762 0.529 0.04
173.69273729213268 2.9210416517994804 10.124658584594727 2.72 2.5283823924080058 0.967 0.38
129.0231401433821 25.610472961395836 10.627866744995117 5.9 4.82692965964994 0.071 0.55
198.9471184039765 -0.46228070224924783 10.912681579589844 10.97 9.86640886955767 1.0 0.13
146.4219514360665 23.674378303039127 10.008416175842285 4.12 -4297.383570705259 1.0 0.0
144.06279754717704 28.788736579739457 10.082168579101562 6.05 5.43481100253136 0.115 0.89
130.35292250561668 12.088015974698223 10.311128616333008 3.29 2.890855766095608 0.441 0.28
230.41809426145633 8.415537614229837 11.236048698425293 15.14 13.072288583619716 0.932 0.15
198.78424545141283 30.40377496811489 10.345115661621094 2.72 2.2295289558881795 0.484 0.41
231.59536162259843 17.405234361324453 10.162574768066406 5.06 5.0169673236288626 0.0 0.53
206.45067142009526 15.531601231225732 10.774478912353516 12.32 10.355762985833131 0.02 0.02
184.36096921652106 44.5215904868469 10.050421714782715 5.41 4.795169232760189 0.258 0.04
221.32923879383193 49.12622375598254 10.25556755065918 5.09 4.547644851199188 0.098 0.59
134.29535883189845 23.1294643871368 10.601921081542969 5.01 4.277072000808322 0.0 0.82
241.78876999158808 30.518203064303428 11.10619068145752 5.61 5.006056385893054 0.026 0.65
187.33848480497886 14.789298896193909 11.047506332397461 12.59 10.155128513225373 1.0 0.22
117.92589227789291 30.030681296143097 10.338458061218262 6.24 5.816800725064391 0.031 0.94
247.14246007363408 40.88617977415259 10.48121166229248 4.92 4.235414356967803 0.273 0.47
177.74045965071497 51.953229977262275 10.828432083129883 4.57 4.383350080709685 0.5 0.72
120.03205953154601 30.15465935285573 10.562098503112793 5.69 5.114222342601475 0.61 0.08
168.4588755477692 34.05598426948264 10.426871299743652 8.42 7.41842816378008 0.622 0.11
149.97270070106788 18.596943641620744 10.428384780883789 7.04 6.585453724068989 0.114 0.06
218.71095635422387 3.6451472133617324 10.22396469116211 4.11 3.797592456049261 0.059 0.03
